"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","1016","Goats","1","","010420","010420","02123"
"1882","Agricult.Products, Total","549","Gooseberries","1","","081090","081030","01351.02"
"1882","Agricult.Products, Total","103","Grain, mixed","1","","100890","100890","01199.02"
"1882","Agricult.Products, Total","507","Grapefruit (inc. pomelos)","1","","080540","080540","01321"
"1882","Agricult.Products, Total","560","Grapes","1","","080610","080610","01330"
"1882","Agricult.Products, Total","566","Grapes, marc","1","","230800","230800","39120.18"
"1882","Agricult.Products, Total","563","Grapes, must","1","","220421, 220429, 220430","220421, 220429, 220430","24212.01"
"1882","Agricult.Products, Total","994","Grease incl. lanolin wool","1","","150500","150500","F0994"
"1882","Agricult.Products, Total","246","Groundnuts, prepared","1","","200811","200811","21495.01"
"1882","Agricult.Products, Total","243","Groundnuts, shelled","1","","120220","120242","21421"
"1882","Agricult.Products, Total","242","Groundnuts, with shell","1","","120210, 120220","120230, 120241","0142"
"1882","Agricult.Products, Total","839","Gums, natural","1","","400130","400130","03211"
"1882","Agricult.Products, Total","1008","Hair, carded/combed","1","","510510, 510521, 510529, 510531, 510539, 510540","510510, 510521, 510529, 510531, 510539, 510540","26150.01"
"1882","Agricult.Products, Total","1219","Hair, coarse nes","1","","510220","510220","02942.90"
"1882","Agricult.Products, Total","1218","Hair, fine","1","","510219","510219","02943.02"
"1882","Agricult.Products, Total","1031","Hair, goat, coarse","1","","510220","510220","02942.02"
"1882","Agricult.Products, Total","1030","Hair, goat, fine","1","","510211, 510219","510211, 510219","02943.01"
"1882","Agricult.Products, Total","1100","Hair, horse","1","","510220","510220","39110.01"
"1882","Agricult.Products, Total","858","Hay (clover, lucerne,etc)","1","","121490","121490","01919.10"
"1882","Agricult.Products, Total","859","Hay (unspecified)","1","","121490","121490","01919.11"
"1882","Agricult.Products, Total","857","Hay, non-leguminous","1","","121490","121490","01919.09"
"1882","Agricult.Products, Total","233","Hazelnuts, shelled","1","","080222","080222","21423"
"1882","Agricult.Products, Total","225","Hazelnuts, with shell","1","","080221","080221","01374"
"1882","Agricult.Products, Total","777","Hemp tow waste","1","","530210, 530290","530210, 530290","01929.02"
"1882","Agricult.Products, Total","336","Hempseed","1","","120799","120799","01449.02"
"1882","Agricult.Products, Total","1213","Hides and skins nes, fresh","1","","410320, 410390","410320, 410390","02959.91"
"1882","Agricult.Products, Total","1216","Hides nes","1","","410320, 410390","410320, 410390","02959.99"
"1882","Agricult.Products, Total","1215","Hides nes, dry salted","1","","410320, 410390","410320, 410390","02959.30"
"1882","Agricult.Products, Total","959","Hides, buffalo, dry salted","1","","410120, 410150, 410190","410120, 410150, 410190","02951.09"
"1882","Agricult.Products, Total","957","Hides, buffalo, fresh","1","","410120, 410150, 410190","410120, 410150, 410190","02951.03"
"1882","Agricult.Products, Total","958","Hides, buffalo, wet salted","1","","410120, 410150, 410190","410120, 410150, 410190","02951.08"
"1882","Agricult.Products, Total","1136","Hides, camel nes","1","","410390","410390","02959.08"
"1882","Agricult.Products, Total","1134","Hides, camel, wet salted","1","","410390","410390","02959.06"
"1882","Agricult.Products, Total","922","Hides, cattle nes","1","","410120, 410150, 410190","410120, 410150, 410190","02951.91"
"1882","Agricult.Products, Total","921","Hides, cattle, dry salted","1","","410120, 410150, 410190","410120, 410150, 410190","02951.05"
"1882","Agricult.Products, Total","919","Hides, cattle, fresh","1","","410120, 410150, 410190","410120, 410150, 410190","02951.01"
